iter	Passed	Remaining
573	920	682
574	925	684
575	928	683
576	930	682
577	932	681
578	936	680
579	937	678
580	939	677
581	940	675
582	942	674
583	943	672
584	945	670
585	946	668
586	948	667
587	949	665
588	950	663
589	952	661
590	953	659
591	955	658
592	956	656
593	957	654
594	958	652
595	959	650
596	961	648
597	962	647
598	964	645
599	966	644
600	967	642
601	968	640
602	969	638
603	970	636
604	971	634
605	972	632
606	974	630
607	975	628
608	976	627
609	978	625
610	981	624
611	982	622
612	983	621
613	984	619
614	986	617
615	987	615
616	988	613
617	989	611
618	991	610
619	992	608
620	995	607
621	997	606
622	998	604
623	999	602
624	1001	600
625	1002	598
626	1003	596
627	1004	594
628	1005	592
629	1006	591
630	1012	592
631	1013	590
632	1014	588
633	1015	586
634	1020	586
635	1031	590
636	1033	588
637	1034	587
638	1035	585
639	1037	583
640	1038	581
641	1039	579
642	1040	577
643	1042	576
644	1043	574
645	1044	572
646	1045	570
647	1046	568
648	1047	566
649	1048	564
650	1049	562
651	1050	560
652	1051	558
653	1052	556
654	1053	554
655	1054	552
656	1055	551
657	1057	549
658	1058	547
659	1059	545
660	1061	544
661	1062	542
662	1065	541
663	1066	539
664	1068	538
665	1069	536
666	1070	534
667	1071	532
668	1072	530
669	1074	529
670	1076	527
671	1077	526
672	1082	525
673	1083	524
674	1084	522
675	1086	520
676	1087	518
677	1088	517
678	1090	515
679	1091	513
680	1092	511
681	1094	510
682	1095	508
683	1096	506
684	1097	504
685	1098	503
686	1100	501
687	1101	499
688	1102	497
689	1104	496
690	1105	494
691	1106	492
692	1107	490
693	1108	488
694	1110	487
695	1111	485
696	1112	483
697	1113	481
698	1115	480
699	1116	478
700	1117	476
701	1118	474
702	1120	473
703	1121	471
704	1122	469
705	1125	468
706	1126	466
707	1128	465
708	1129	463
709	1131	461
710	1133	460
711	1135	459
712	1137	457
713	1142	457
714	1180	470
715	1181	468
716	1183	467
717	1184	465
718	1186	463
719	1188	462
720	1190	460
721	1191	458
722	1193	457
723	1194	455
724	1195	453
725	1197	451
726	1198	450
727	1199	448
728	1201	446
729	1202	444
730	1204	443
731	1206	441
732	1207	439
733	1208	438
734	1210	436
735	1211	434
736	1213	433
737	1215	431
738	1216	429
739	1218	428
740	1220	426
741	1221	424
742	1223	423
743	1224	421
744	1225	419
745	1226	417
746	1247	422
747	1249	420
748	1251	419
749	1252	417
750	1253	415
751	1255	413
752	1256	412
753	1258	410
754	1259	408
755	1260	406
756	1263	405
757	1267	404
758	1269	403
759	1271	401
760	1272	399
761	1273	397
762	1275	396
763	1276	394
764	1278	392
765	1280	391
766	1281	389
767	1283	387
768	1284	385
769	1285	384
770	1286	382
771	1287	380
772	1289	378
773	1290	376
774	1291	374
775	1292	373
776	1293	371
777	1295	369
778	1296	367
779	1297	365
780	1298	364
781	1299	362
782	1300	360
783	1301	358
784	1302	356
785	1303	354
786	1306	353
787	1307	351
788	1308	349
789	1309	348
790	1310	346
791	1312	344
792	1313	342
793	1314	340
794	1315	339
795	1316	337
796	1317	335
797	1318	333
798	1319	331
799	1320	330
800	1321	328
801	1322	326
802	1323	324
803	1324	322
804	1325	321
805	1326	319
806	1327	317
807	1328	315
808	1329	313
809	1330	312
810	1331	310
811	1332	308
812	1334	306
813	1335	305
814	1336	303
815	1337	301
816	1338	299
817	1339	297
818	1340	296
819	1342	294
820	1343	292
821	1344	291
822	1345	289
823	1346	287
824	1347	285
825	1349	284
826	1350	282
827	1351	280
828	1352	278
829	1353	277
830	1354	275
831	1356	273
832	1357	272
833	1358	270
834	1359	268
835	1360	266
836	1363	265
837	1364	263
838	1365	262
839	1366	260
840	1367	258
841	1368	256
842	1370	255
843	1371	253
844	1372	251
845	1374	250
846	1375	248
847	1376	246
848	1377	244
849	1378	243
850	1379	241
851	1381	240
852	1382	238
853	1383	236
854	1385	234
855	1387	233
856	1388	231
857	1389	229
858	1390	228
859	1391	226
860	1392	224
861	1393	223
862	1394	221
863	1396	219
864	1397	218
865	1398	216
866	1399	214
867	1402	213
868	1403	211
869	1404	209
870	1405	208
871	1406	206
872	1407	204
873	1409	203
874	1410	201
875	1410	199
876	1411	198
877	1412	196
878	1413	194
879	1414	192
880	1416	191
881	1417	189
882	1419	188
883	1420	186
884	1421	184
885	1422	183
886	1423	181
887	1424	179
888	1425	178
889	1426	176
890	1428	174
891	1429	173
892	1430	171
893	1431	169
894	1432	168
895	1434	166
896	1435	164
897	1436	163
898	1437	161
899	1439	159
900	1441	158
901	1442	156
902	1443	155
903	1444	153
904	1446	151
905	1447	150
906	1448	148
907	1449	146
908	1450	145
909	1451	143
910	1452	141
911	1453	140
912	1454	138
913	1455	136
914	1456	135
915	1457	133
916	1459	132
917	1460	130
918	1462	128
919	1463	127
920	1464	125
921	1465	123
922	1466	122
923	1467	120
924	1468	119
925	1469	117
926	1470	115
927	1471	114
928	1472	112
929	1473	110
930	1474	109
931	1475	107
932	1476	106
933	1478	104
934	1479	102
935	1480	101
936	1480	99
937	1481	97
938	1482	96
939	1483	94
940	1484	93
941	1485	91
942	1487	89
943	1487	88
944	1488	86
945	1490	85
946	1491	83
947	1492	81
948	1493	80
949	1494	78
950	1495	77
951	1496	75
952	1497	73
953	1498	72
954	1499	70
955	1500	69
956	1501	67
957	1503	65
958	1504	64
959	1505	62
960	1506	61
961	1507	59
962	1508	57
963	1509	56
964	1510	54
965	1511	53
966	1512	51
967	1513	50
968	1514	48
969	1516	46
970	1517	45
971	1518	43
972	1519	42
973	1520	40
974	1521	39
975	1522	37
976	1523	35
977	1524	34
978	1525	32
979	1526	31
980	1527	29
981	1528	28
982	1529	26
983	1529	24
984	1530	23
985	1531	21
986	1533	20
987	1533	18
988	1535	17
989	1536	15
990	1537	13
991	1538	12
992	1539	10
993	1540	9
994	1541	7
995	1542	6
996	1543	4
997	1544	3
998	1545	1
999	1546	0
